zip_code,week_number,cases_cumulative,case_rate_cumulative,deaths_cumulative,death_rate_cumulative,population
60624,27,9662,26721.6,119,329.1,36158
60621,17,7958,27401.7,157,540.6,29042
60624,32,9711,26857.1,119,329.1,36158
60624,33,9729,26906.9,119,329.1,36158
60624,34,9744,26948.4,119,329.1,36158
60624,35,9767,27012,119,329.1,36158
60624,36,9788,27070.1,119,329.1,36158
60624,37,9802,27108.8,119,329.1,36158
60624,38,9816,27147.5,119,329.1,36158
60624,39,9836,27202.8,119,329.1,36158
60624,4,9191,25419,118,326.3,36158
60624,40,9841,27216.7,119,329.1,36158
60624,41,9847,27233.3,119,329.1,36158
60624,46,9918,27429.6,119,329.1,36158
60624,47,9952,27523.6,120,331.9,36158
60624,48,9984,27612.1,120,331.9,36158
60624,49,10025,27725.5,120,331.9,36158
60624,50,10052,27800.2,120,331.9,36158
60624,51,10095,27919.1,120,331.9,36158
60626,17,14711,29581.7,218,438.4,49730
60628,19,16564,24824.7,324,485.6,66724
60628,20,16576,24842.6,324,485.6,66724
60628,21,16585,24856.1,324,485.6,66724
60628,22,16593,24868.1,325,487.1,66724
60628,23,16600,24878.6,325,487.1,66724
60628,24,16605,24886.1,325,487.1,66724
60628,25,16607,24889.1,325,487.1,66724
60628,26,16610,24893.6,325,487.1,66724
60628,27,16613,24898.1,325,487.1,66724
60628,28,16624,24914.6,325,487.1,66724
60625,17,23663,29861.3,264,333.2,79243
60628,29,16631,24925.1,325,487.1,66724
60628,31,16659,24967,325,487.1,66724
60628,32,16670,24983.5,325,487.1,66724
60628,35,16732,25076.4,325,487.1,66724
60628,36,16749,25101.9,325,487.1,66724
60628,37,16772,25136.4,325,487.1,66724
60628,38,16797,25173.9,325,487.1,66724
60628,39,16812,25196.3,325,487.1,66724
60628,40,16821,25209.8,325,487.1,66724
60628,42,16875,25290.7,325,487.1,66724
60628,43,16898,25325.2,325,487.1,66724
60628,44,16914,25349.2,325,487.1,66724
60628,45,16933,25377.7,326,488.6,66724
60628,46,16959,25416.6,326,488.6,66724
60628,47,16995,25470.6,326,488.6,66724
60628,48,17038,25535,326,488.6,66724
60628,50,17154,25708.9,326,488.6,66724
60628,16,17617,26402.8,328,491.6,66724
60629,21,28942,25875.7,342,305.8,111850
